Post Date,Description,Amount,Business Justification
05/06,IKEA EAST PALO ALTO PALO ALTO CA,52.71,Office furniture/equipment for workplace functionality and improvements.
05/07,WWW COSTCO COM 800-955-2292 WA,41.72,General office supplies and operational goods procured for business use.
05/10,ROSE INTERNATIONAL MARKE MOUNTAIN VIEWCA,14.78,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
05/12,TRADER JOE S #081 MOUNTAIN VIEWCA,96.89,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
05/13,SQ *MARUWU SEICHA - PA Palo Alto CA,12.84,General business expense incurred in the ordinary course of operations and deemed reasonable for company use.
05/17,COSTCO WHSE #0143 MOUNTAIN VIEWCA,103.88,General office supplies and operational goods procured for business use.
05/17,ROSE INTERNATIONAL MARKE MOUNTAIN VIEWCA,76.35,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
05/22,Audible*NZ17O7EJ1 Amzn.com/billNJ,9.99,"Software/subscription supporting development, training, or productivity for business use."
05/23,WWW COSTCO COM 800-955-2292 WA,130,General office supplies and operational goods procured for business use.
05/23,COSTCO WHSE #0147 FOSTER CITY CA,164.78,General office supplies and operational goods procured for business use.
05/23,TRADER JOE S #245 SAN MATEO CA,63.78,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
05/26,TESLA SUBSCRIPTION US PALO ALTO CA,108.78,Transportation/charging expense for authorized business travel or company vehicle use.
05/29,TST*COHO Stanford CA,4.64,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
06/04,WALMART.COM 8009256278 AR,69.45,General office supplies and operational goods procured for business use.
06/05,XFINITY MOBILE 888-936-4968 PA,80.33,Internet/mobile service used for company communications and operational connectivity.
06/08,COSTCO WHSE #0147 FOSTER CITY CA,54.1,General office supplies and operational goods procured for business use.
06/08,COSTCO WHSE #0147 FOSTER CITY CA,180.75,General office supplies and operational goods procured for business use.
06/11,COSTCO WHSE #0147 FOSTER CITY CA,192.83,General office supplies and operational goods procured for business use.
06/11,SQ *ZAREEN'S PALO ALTO Palo Alto CA,5.18,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
06/11,TRADER JOE S #245 SAN MATEO CA,25.76,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
06/11,SQ *ZAREEN'S PALO ALTO Palo Alto CA,70.7,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
06/18,COSTCO WHSE #0143 MOUNTAIN VIEWCA,107.68,General office supplies and operational goods procured for business use.
06/18,COSTCO WHSE #0143 MOUNTAIN VIEWCA,235.96,General office supplies and operational goods procured for business use.
06/24,COSTCO WHSE #0147 FOSTER CITY CA,155.16,General office supplies and operational goods procured for business use.
06/26,TESLA SUBSCRIPTION US PALO ALTO CA,108.78,Transportation/charging expense for authorized business travel or company vehicle use.
07/01,COMCAST / XFINITY 800-266-2278 CA,102.47,Internet/mobile service used for company communications and operational connectivity.
07/06,XFINITY MOBILE 888-936-4968 PA,85.31,Internet/mobile service used for company communications and operational connectivity.
07/11,GEICO *AUTO 800-841-3000 DC,339.06,Company vehicle insurance or related auto expense necessary for operations.
07/12,TRADER JOE S #245 SAN MATEO CA,20.73,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
07/15,PP*APPLE.COM/BILL 402-935-7733 CA,49.99,Business hardware/software purchased to support staff productivity and operations.
07/25,COSTCO WHSE #0147 FOSTER CITY CA,20.82,General office supplies and operational goods procured for business use.
07/25,COSTCO WHSE #0147 FOSTER CITY CA,164.41,General office supplies and operational goods procured for business use.
07/26,TESLA SUBSCRIPTION US PALO ALTO CA,108.78,Transportation/charging expense for authorized business travel or company vehicle use.
07/31,REAL PRODUCE INTERNATION PALO ALTO CA,137.76,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
08/02,FASTRAK CSC 415-486-8655 CA,25,Highway/toll expense incurred during authorized business travel.
08/03,TRADER JOE S #245 SAN MATEO CA,54.86,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
08/05,XFINITY MOBILE 888-936-4968 PA,63.84,Internet/mobile service used for company communications and operational connectivity.
08/14,COSTCO WHSE #0147 FOSTER CITY CA,152.12,General office supplies and operational goods procured for business use.
08/18,TST*OLYMPUS CAFFE & BAKE Mountain viewCA,29.24,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
08/22,TRADER JOE S #245 SAN MATEO CA,25.17,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
08/26,TESLA SUBSCRIPTION US PALO ALTO CA,108.78,Transportation/charging expense for authorized business travel or company vehicle use.
08/30,"GITHUB, INC. GITHUB.COM CA",100,"Software/subscription supporting development, training, or productivity for business use."
09/01,WALMART.COM 800-925-6278 AR,31.36,General office supplies and operational goods procured for business use.
09/04,Lenovo United States 855-2536686 NC,2046.59,Business hardware/software purchased to support staff productivity and operations.
09/05,WILLIAMS-SONOMA.COM 800-541-1262 CA,307.64,Office furniture/equipment for workplace functionality and improvements.
09/06,IKEA EAST PALO ALTO PALO ALTO CA,43.86,Office furniture/equipment for workplace functionality and improvements.
09/09,WALMART.COM 800-925-6278 AR,37.76,General office supplies and operational goods procured for business use.
12/11,APPLE.COM/BILL 866-712-7753 CA,9.99,Business hardware/software purchased to support staff productivity and operations.
12/11,TST* MENDOCINO FARMS - 19SAN MATEO CA,17.49,General business expense incurred in the ordinary course of operations and deemed reasonable for company use.
12/11,COMCAST CALIFORNIA 800-COMCAST CA,50,Internet/mobile service used for company communications and operational connectivity.
12/12,COSTCO WHSE #1042 REDWOOD CITY CA,135.9,General office supplies and operational goods procured for business use.
12/13,WWW COSTCO COM 800-955-2292 WA,54.93,General office supplies and operational goods procured for business use.
12/13,COSTCO ONLINE RX 800-955-2292 WA,16.47,Medical/health-related supplies purchased for company use; subject to benefits policy review.
12/18,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA,20,"Software/subscription supporting development, training, or productivity for business use."
12/21,COSTCO WHSE #0147 FOSTER CITY CA,36.56,General office supplies and operational goods procured for business use.
12/21,COSTCO WHSE #0147 FOSTER CITY CA,46.96,General office supplies and operational goods procured for business use.
12/21,INDIA GROCERY AND SPICE SAN MATEO CA,6.44,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
12/21,TRADER JOE S #245 SAN MATEO CA,42.68,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
12/23,SQ *CAFE VENETIA Palo Alto CA,17.58,General business expense incurred in the ordinary course of operations and deemed reasonable for company use.
12/24,COSTCO WHSE #0147 FOSTER CITY CA,139.78,General office supplies and operational goods procured for business use.
12/24,ALADDIN GOURMET MARKET SAN MATEO CA,148.39,"Meals/refreshments for business meetings, hospitality, or staff support in the ordinary course of operations."
12/31,COSTCO WHSE #1042 REDWOOD CITY CA,64.97,General office supplies and operational goods procured for business use.
12/31,OPENAI HTTPSOPENAI.CCA,50,"Software/subscription supporting development, training, or productivity for business use."
